Group,GroupIndex,NodeID
nu,13,cube96_cluster2-cube97_cluster2
rho,17,cube96_cluster3
pi,16,cube97_cluster0
phi,21,cube97_cluster1
rho,17,cube97_cluster3
pi,16,cube98_cluster0
phi,21,cube98_cluster1
rho,17,cube98_cluster2
omega,24,cube99_cluster0-cube100_cluster0-cube101_cluster0-cube102_cluster0
pi,16,cube99_cluster1
phi,21,cube99_cluster2
rho,17,cube99_cluster3
phi,21,cube100_cluster1
rho,17,cube100_cluster2
pi,16,cube101_cluster1
phi,21,cube101_cluster2
rho,17,cube101_cluster3-cube102_cluster3
pi,16,cube102_cluster1-cube103_cluster0
phi,21,cube102_cluster2-cube103_cluster1
rho,17,cube103_cluster2
pi,16,cube104_cluster0-cube105_cluster0
phi,21,cube104_cluster1-cube105_cluster1
rho,17,cube104_cluster2
rho,17,cube105_cluster2-cube106_cluster1
phi,21,cube106_cluster0
phi,21,cube107_cluster0
rho,17,cube107_cluster1
phi,21,cube108_cluster0
rho,17,cube108_cluster1
rho,17,cube109_cluster0
