sra,sample_id,species,family,tissue,stress,bioproject
SRR1598911,A_hypochondria_001,A_hypochondria,Amaranthacea,flower,healthy, PRJNA263128
SRR1598912,A_hypochondria_002,A_hypochondria,Amaranthacea,leaf,healthy, PRJNA263128
SRR1598913,A_hypochondria_003,A_hypochondria,Amaranthacea,root,healthy, PRJNA263128
SRR1598910,A_hypochondria_004,A_hypochondria,Amaranthacea,stem,healthy, PRJNA263128
SRR1598914,A_hypochondria_005,A_hypochondria,Amaranthacea,other,drought, PRJNA263128
SRR1598909,A_hypochondria_006,A_hypochondria,Amaranthacea,seed,healthy, PRJNA263128
SRR1598916,A_hypochondria_007,A_hypochondria,Amaranthacea,seed,healthy, PRJNA263128
SRR1598915,A_hypochondria_008,A_hypochondria,Amaranthacea,seedling,healthy, PRJNA263128
SRR1642915,A_officinalis_001,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642914,A_officinalis_002,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642913,A_officinalis_003,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642911,A_officinalis_004,A_officinalis,Asparagaceae,flower,healthy,NA
SRR1642910,A_officinalis_005,A_officinalis,Asparagaceae,flower,healthy,NA
SRR3765676,A_officinalis_006,A_officinalis,Asparagaceae,root,healthy,NA
SRR5818212,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818213,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818216,A_sativa_001,A_sativa,Poaceae,leaf,drought,NA
SRR5818214,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR5818215,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR5818217,A_sativa_002,A_sativa,Poaceae,leaf,healthy,NA
SRR1219535,A_sativum_001,A_sativum,Amaryllidaceae,leaf,healthy,NA
SRR1219644,A_sativum_002,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR1219646,A_sativum_003,A_sativum,Amaryllidaceae,root,healthy,NA
SRR1219796,A_sativum_004,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR1219989,A_sativum_005,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR1220207,A_sativum_006,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581126,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581127,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581131,A_sativum_007,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR8581128,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581129,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR8581130,A_sativum_008,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR12278226,A_sativum_009,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278227,A_sativum_009,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278228,A_sativum_010,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278229,A_sativum_010,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278230,A_sativum_011,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR12278231,A_sativum_011,A_sativum,Amaryllidaceae,seed,healthy,NA
SRR11100874,A_sativum_012,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100875,A_sativum_012,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100876,A_sativum_012,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100877,A_sativum_013,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100878,A_sativum_013,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100879,A_sativum_013,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100880,A_sativum_014,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100881,A_sativum_014,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100882,A_sativum_014,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100883,A_sativum_015,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100884,A_sativum_015,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100885,A_sativum_015,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100886,A_sativum_016,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100887,A_sativum_016,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100888,A_sativum_016,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100889,A_sativum_017,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100890,A_sativum_017,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100891,A_sativum_017,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100892,A_sativum_018,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100893,A_sativum_018,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100894,A_sativum_018,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100895,A_sativum_019,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100896,A_sativum_019,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100897,A_sativum_019,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR11100898,A_sativum_020,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR11100899,A_sativum_020,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR11100900,A_sativum_020,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR11100901,A_sativum_021,A_sativum,Amaryllidaceae,leaf,healthy,NA
SRR11100902,A_sativum_021,A_sativum,Amaryllidaceae,leaf,healthy,NA
SRR11100903,A_sativum_021,A_sativum,Amaryllidaceae,leaf,healthy,NA
SRR11100904,A_sativum_022,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR11100905,A_sativum_022,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR11100906,A_sativum_022,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR11100907,A_sativum_023,A_sativum,Amaryllidaceae,other,healthy,NA
SRR11100908,A_sativum_023,A_sativum,Amaryllidaceae,other,healthy,NA
SRR11100909,A_sativum_023,A_sativum,Amaryllidaceae,other,healthy,NA
SRR11100910,A_sativum_024,A_sativum,Amaryllidaceae,root,healthy,NA
SRR11100911,A_sativum_024,A_sativum,Amaryllidaceae,root,healthy,NA
SRR11100912,A_sativum_024,A_sativum,Amaryllidaceae,root,healthy,NA
SRR11100913,A_sativum_025,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR11100914,A_sativum_025,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR11100915,A_sativum_025,A_sativum,Amaryllidaceae,flower,healthy,NA
SRR10102510,A_sativum_026,A_sativum,Amaryllidaceae,stem,other,NA
SRR10102511,A_sativum_026,A_sativum,Amaryllidaceae,stem,other,NA
SRR10102512,A_sativum_026,A_sativum,Amaryllidaceae,stem,other,NA
SRR10102513,A_sativum_027,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR10102514,A_sativum_027,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR10102515,A_sativum_027,A_sativum,Amaryllidaceae,stem,healthy,NA
SRR7196287,A_sativum_028,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196288,A_sativum_028,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196298,A_sativum_028,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196289,A_sativum_029,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196290,A_sativum_029,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196297,A_sativum_029,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196291,A_sativum_030,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196292,A_sativum_030,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196294,A_sativum_030,A_sativum,Amaryllidaceae,fruit,cold,NA
SRR7196293,A_sativum_031,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR7196295,A_sativum_031,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR7196296,A_sativum_031,A_sativum,Amaryllidaceae,fruit,healthy,NA
SRR9844294,A_thaliana_001,A_thaliana,Brassicaceae,leaf,healthy, PRJNA556865
SRR9844295,A_thaliana_001,A_thaliana,Brassicaceae,leaf,healthy, PRJNA556865
SRR9844296,A_thaliana_001,A_thaliana,Brassicaceae,leaf,healthy, PRJNA556865
SRR9844300,A_thaliana_002,A_thaliana,Brassicaceae,leaf,drought, PRJNA556865
SRR9844301,A_thaliana_002,A_thaliana,Brassicaceae,leaf,drought, PRJNA556865
SRR9844302,A_thaliana_002,A_thaliana,Brassicaceae,leaf,drought, PRJNA556865
SRR11458863,A_thaliana_003,A_thaliana,Brassicaceae,leaf,healthy, PRJNA620359
SRR11458867,A_thaliana_003,A_thaliana,Brassicaceae,leaf,healthy, PRJNA620359
SRR11458871,A_thaliana_003,A_thaliana,Brassicaceae,leaf,healthy, PRJNA620359
SRR11458875,A_thaliana_003,A_thaliana,Brassicaceae,leaf,healthy, PRJNA620359
SRR11458864,A_thaliana_004,A_thaliana,Brassicaceae,leaf,salt, PRJNA620359
SRR11458868,A_thaliana_004,A_thaliana,Brassicaceae,leaf,salt, PRJNA620359
SRR11458872,A_thaliana_004,A_thaliana,Brassicaceae,leaf,salt, PRJNA620359
SRR11458876,A_thaliana_004,A_thaliana,Brassicaceae,leaf,salt, PRJNA620359
SRR3724649,A_thaliana_005,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724650,A_thaliana_005,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724651,A_thaliana_006,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724652,A_thaliana_006,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724663,A_thaliana_007,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724668,A_thaliana_007,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724737,A_thaliana_008,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724738,A_thaliana_008,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724739,A_thaliana_009,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724741,A_thaliana_009,A_thaliana,Brassicaceae,leaf,cold, PRJNA324514
SRR3724768,A_thaliana_010,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724774,A_thaliana_010,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724778,A_thaliana_011,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724782,A_thaliana_011,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724785,A_thaliana_012,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724786,A_thaliana_012,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724787,A_thaliana_013,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724798,A_thaliana_013,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724806,A_thaliana_014,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3724814,A_thaliana_014,A_thaliana,Brassicaceae,leaf,heat, PRJNA324514
SRR3581347,A_thaliana_015,A_thaliana,Brassicaceae,root,healthy, PRJNA314076
SRR3581356,A_thaliana_016,A_thaliana,Brassicaceae,root,healthy, PRJNA314076
SRR3581346,A_thaliana_017,A_thaliana,Brassicaceae,stem,healthy, PRJNA314076
SRR3581681,A_thaliana_018,A_thaliana,Brassicaceae,stem,healthy, PRJNA314076
SRR3581706,A_thaliana_019,A_thaliana,Brassicaceae,seed,healthy, PRJNA314076
SRR3581709,A_thaliana_019,A_thaliana,Brassicaceae,seed,healthy, PRJNA314076
SRR3581712,A_thaliana_019,A_thaliana,Brassicaceae,seed,healthy, PRJNA314076
SRR3581693,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581694,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581695,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581696,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581697,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581698,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581699,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581700,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581701,A_thaliana_020,A_thaliana,Brassicaceae,flower,healthy, PRJNA314076
SRR3581707,A_thaliana_021,A_thaliana,Brassicaceae,fruit,healthy, PRJNA314076
SRR3581710,A_thaliana_021,A_thaliana,Brassicaceae,fruit,healthy, PRJNA314076
SRR3581713,A_thaliana_021,A_thaliana,Brassicaceae,fruit,healthy, PRJNA314076
SRR5293260,A_trichopoda_001,A_trichopoda,Amborellaceae,root,healthy, PRJNA212863
SRR5293261,A_trichopoda_002,A_trichopoda,Amborellaceae,leaf,healthy, PRJNA212863
SRR5293262,A_trichopoda_003,A_trichopoda,Amborellaceae,leaf,healthy, PRJNA212863
SRR5293263,A_trichopoda_004,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293265,A_trichopoda_005,A_trichopoda,Amborellaceae,stem,healthy, PRJNA212863
SRR5293264,A_trichopoda_006,A_trichopoda,Amborellaceae,stem,healthy, PRJNA212863
SRR5293266,A_trichopoda_007,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293267,A_trichopoda_008,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293268,A_trichopoda_009,A_trichopoda,Amborellaceae,seedling,healthy, PRJNA212863
SRR5293269,A_trichopoda_010,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293270,A_trichopoda_011,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293271,A_trichopoda_012,A_trichopoda,Amborellaceae,seedling,healthy, PRJNA212863
SRR5293272,A_trichopoda_013,A_trichopoda,Amborellaceae,fruit,healthy, PRJNA212863
SRR5293273,A_trichopoda_014,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293274,A_trichopoda_015,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293275,A_trichopoda_016,A_trichopoda,Amborellaceae,seedling,healthy, PRJNA212863
SRR5293276,A_trichopoda_017,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293277,A_trichopoda_018,A_trichopoda,Amborellaceae,flower,healthy, PRJNA212863
SRR5293278,A_trichopoda_019,A_trichopoda,Amborellaceae,seedling,healthy, PRJNA212863
SRR522511,B_distachyon_001,B_distachyon,Poaceae,leaf,healthy, PRJNA170607
SRR522512,B_distachyon_001,B_distachyon,Poaceae,leaf,healthy, PRJNA170607
SRR522513,B_distachyon_002,B_distachyon,Poaceae,leaf,drought, PRJNA170607
SRR522514,B_distachyon_002,B_distachyon,Poaceae,leaf,drought, PRJNA170607
SRR522515,B_distachyon_003,B_distachyon,Poaceae,leaf,healthy, PRJNA170607
SRR522516,B_distachyon_003,B_distachyon,Poaceae,leaf,healthy, PRJNA170607
SRR522517,B_distachyon_004,B_distachyon,Poaceae,leaf,drought, PRJNA170607
SRR522518,B_distachyon_004,B_distachyon,Poaceae,leaf,drought, PRJNA170607
SRR5012158,B_distachyon_005,B_distachyon,Poaceae,flower,heat, PRJNA350873
SRR5012165,B_distachyon_005,B_distachyon,Poaceae,flower,heat, PRJNA350873
SRR5012159,B_distachyon_006,B_distachyon,Poaceae,leaf,heat, PRJNA350873
SRR5012161,B_distachyon_006,B_distachyon,Poaceae,leaf,heat, PRJNA350873
SRR5012160,B_distachyon_007,B_distachyon,Poaceae,flower,healthy, PRJNA350873
SRR5012169,B_distachyon_007,B_distachyon,Poaceae,flower,healthy, PRJNA350873
SRR5012162,B_distachyon_009,B_distachyon,Poaceae,leaf,healthy, PRJNA350873
SRR5012164,B_distachyon_009,B_distachyon,Poaceae,leaf,healthy, PRJNA350873
SRR5012163,B_distachyon_010,B_distachyon,Poaceae,leaf,heat, PRJNA350873
SRR5012166,B_distachyon_010,B_distachyon,Poaceae,leaf,heat, PRJNA350873
SRR5012167,B_distachyon_011,B_distachyon,Poaceae,leaf,healthy, PRJNA350873
SRR5012168,B_distachyon_011,B_distachyon,Poaceae,leaf,healthy, PRJNA350873
SRR349785,B_distachyon_012,B_distachyon,Poaceae,leaf,healthy, 
SRR352143,B_distachyon_012,B_distachyon,Poaceae,leaf,healthy, 
SRR349786,B_distachyon_013,B_distachyon,Poaceae,flower,healthy, 
SRR349787,B_distachyon_014,B_distachyon,Poaceae,flower,healthy, 
SRR352137,B_distachyon_015,B_distachyon,Poaceae,flower,healthy, 
SRR352138,B_distachyon_016,B_distachyon,Poaceae,seed,healthy, 
SRR352144,B_distachyon_016,B_distachyon,Poaceae,seed,healthy, 
SRR352139,B_distachyon_017,B_distachyon,Poaceae,seed,healthy, 
SRR352140,B_distachyon_018,B_distachyon,Poaceae,flower,healthy, 
SRR352141,B_distachyon_019,B_distachyon,Poaceae,seed,healthy, 
SRR352142,B_distachyon_020,B_distachyon,Poaceae,seed,healthy, 
SRR10238151,B_hispida_001,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238165,B_hispida_001,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238166,B_hispida_001,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238152,B_hispida_002,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238153,B_hispida_002,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238154,B_hispida_002,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238155,B_hispida_003,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238156,B_hispida_003,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238157,B_hispida_003,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238158,B_hispida_004,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238167,B_hispida_004,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238168,B_hispida_004,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238159,B_hispida_005,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238160,B_hispida_005,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238161,B_hispida_005,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238162,B_hispida_006,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238163,B_hispida_006,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR10238164,B_hispida_006,B_hispida,Cucurbitaceae,fruit,healthy, PRJNA576156
SRR8758652,B_hispida_007,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758655,B_hispida_007,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758659,B_hispida_007,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758653,B_hispida_008,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8758656,B_hispida_008,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8758658,B_hispida_008,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8758654,B_hispida_009,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758660,B_hispida_009,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758661,B_hispida_009,B_hispida,Cucurbitaceae,leaf,drought, PRJNA526796
SRR8758657,B_hispida_010,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8758662,B_hispida_010,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8758663,B_hispida_010,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA526796
SRR8464307,B_hispida_011,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464315,B_hispida_011,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464316,B_hispida_011,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464308,B_hispida_012,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464323,B_hispida_012,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464324,B_hispida_012,B_hispida,Cucurbitaceae,leaf,heat, PRJNA514971
SRR8464309,B_hispida_013,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464310,B_hispida_013,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464311,B_hispida_013,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464312,B_hispida_014,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464313,B_hispida_014,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464314,B_hispida_014,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464317,B_hispida_015,B_hispida,Cucurbitaceae,leaf,biotic, PRJNA514971
SRR8464318,B_hispida_015,B_hispida,Cucurbitaceae,leaf,biotic, PRJNA514971
SRR8464328,B_hispida_015,B_hispida,Cucurbitaceae,leaf,biotic, PRJNA514971
SRR8464319,B_hispida_016,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464325,B_hispida_016,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464326,B_hispida_016,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464320,B_hispida_017,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464321,B_hispida_017,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464322,B_hispida_017,B_hispida,Cucurbitaceae,leaf,healthy, PRJNA514971
SRR8464327,B_hispida_018,B_hispida,Cucurbitaceae,leaf,biotic, PRJNA514971
SRR8464329,B_hispida_018,B_hispida,Cucurbitaceae,leaf,biotic, PRJNA514971
SRR8464330,B_hispida_018,B_hispida,Cucurbitaceae,leaf,biotic,NA
SRR2452449,B_juncea_001,B_juncea,Brassicaceae,fruit,healthy, PRJNA296365
SRR2452450,B_juncea_002,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452451,B_juncea_003,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452455,B_juncea_004,B_juncea,Brassicaceae,fruit,healthy, PRJNA296365
SRR2452456,B_juncea_005,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452457,B_juncea_006,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452458,B_juncea_007,B_juncea,Brassicaceae,fruit,healthy, PRJNA296365
SRR2452459,B_juncea_008,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452460,B_juncea_009,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452461,B_juncea_010,B_juncea,Brassicaceae,fruit,healthy, PRJNA296365
SRR2452462,B_juncea_011,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR2452463,B_juncea_012,B_juncea,Brassicaceae,fruit,cold, PRJNA296365
SRR1048145,B_juncea_013,B_juncea,Brassicaceae,seedling,healthy, PRJNA231241
SRR1048146,B_juncea_014,B_juncea,Brassicaceae,seedling,heat, PRJNA231241
SRR1048148,B_juncea_015,B_juncea,Brassicaceae,seedling,drought, PRJNA231241
SRR1544278,B_napus_001,B_napus,Brassicaceae,leaf,healthy, PRJNA256233
SRR1549533,B_napus_002,B_napus,Brassicaceae,leaf,drought, PRJNA256233
SRR1549534,B_napus_003,B_napus,Brassicaceae,root,healthy, PRJNA256233
SRR1549535,B_napus_004,B_napus,Brassicaceae,root,drought, PRJNA256233
SRR11412368,B_napus_005,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412441,B_napus_005,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412576,B_napus_005,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412369,B_napus_006,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412453,B_napus_006,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412577,B_napus_006,B_napus,Brassicaceae,leaf,drought, PRJNA615051
SRR11412567,B_napus_007,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR11412587,B_napus_007,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR11412593,B_napus_007,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR11412568,B_napus_008,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR11412588,B_napus_008,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR11412595,B_napus_008,B_napus,Brassicaceae,leaf,healthy, PRJNA615051
SRR10065360,B_napus_009,B_napus,Brassicaceae,leaf,salt, PRJNA558913
SRR10065361,B_napus_009,B_napus,Brassicaceae,leaf,salt, PRJNA558913
SRR10065362,B_napus_010,B_napus,Brassicaceae,leaf,healthy, PRJNA558913
SRR10065363,B_napus_011,B_napus,Brassicaceae,leaf,healthy, PRJNA558913
SRR8352634,B_napus_12,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352633,B_napus_12,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352635,B_napus_12,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352640,B_napus_13,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352639,B_napus_13,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352642,B_napus_13,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352626,B_napus_14,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352625,B_napus_14,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR8352632,B_napus_14,B_napus,Brassicaceae,seed,healthy, PRJNA510462
SRR630923,B_oleracea_1,B_oleracea,Brassicaceae,flower,healthy, PRJNA183713
SRR630924,B_oleracea_2,B_oleracea,Brassicaceae,leaf,healthy, PRJNA183713
SRR630925,B_oleracea_3,B_oleracea,Brassicaceae,root,healthy, PRJNA183713
SRR630926,B_oleracea_4,B_oleracea,Brassicaceae,fruit,healthy, PRJNA183713
SRR630927,B_oleracea_5,B_oleracea,Brassicaceae,stem,healthy, PRJNA183713
SRR9865917,B_rapa_001,B_rapa,Brassicaceae,leaf,healthy,NA
SRR9865918,B_rapa_001,B_rapa,Brassicaceae,leaf,healthy,NA
SRR9865915,B_rapa_001,B_rapa,Brassicaceae,leaf,healthy,NA
SRR8692572,C_annuum_001,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692573,C_annuum_001,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692574,C_annuum_001,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692575,C_annuum_002,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692576,C_annuum_002,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692577,C_annuum_002,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692568,C_annuum_003,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692591,C_annuum_003,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692592,C_annuum_003,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692569,C_annuum_004,C_annuum,Solanaceae,leaf,cold, PRJNA525913
SRR8692570,C_annuum_004,C_annuum,Solanaceae,leaf,cold, PRJNA525913
